part_id,part_type,material,part_name,spec,uom,unit_cost_usd,supplier,lead_time_days
PRT-000018,Washer,Steel,Steel Washer M6,Dia=6mm,EA,0.01,Supplier TimberCo,21
PRT-000019,Hinge,Stainless Steel,Stainless Steel Hinge,,EA,8.53,Supplier UpholsteryHub,27
PRT-000020,Glass Top,Tempered Glass,Tempered Glass Glass Top 800x800mm,L=800mm;W=800mm,EA,23.65,Supplier UpholsteryHub,26
PRT-000021,Rail,Pine Wood,Pine Wood Rail 700x300x8mm,L=700mm;W=300mm;T=8mm,EA,2.24,Supplier GlassLab,28
PRT-000022,Screw,Stainless Steel,Stainless Steel Screw M4x16,Dia=4mm;Len=16mm,EA,0.02,Supplier MetalWorks,7
PRT-000023,Drawer Front,Bamboo,Bamboo Drawer Front 900x100x15mm,L=900mm;W=100mm;T=15mm,EA,2.34,Supplier FastenPro,16
PRT-000024,Varnish Can,Varnish,Varnish Varnish Can 1L,Volume=1L,EA,5.67,Supplier PrimeSupply,19
PRT-000025,Glass Top,Tempered Glass,Tempered Glass Glass Top 1400x700mm,L=1400mm;W=700mm,EA,26.97,Supplier PrimeSupply,30
PRT-000026,Backboard,Bamboo,Bamboo Backboard 300x120x20mm,L=300mm;W=120mm;T=20mm,EA,3.22,Supplier HardwareHouse,10
PRT-000027,Rail,Birch Plywood,Birch Plywood Rail 1000x200x50mm,L=1000mm;W=200mm;T=50mm,EA,4.33,Supplier FinishesPlus,15
PRT-000028,Leg,Pine Wood,Pine Wood Leg 500x500x30mm,L=500mm;W=500mm;T=30mm,EA,3.55,Supplier PrimeSupply,17
PRT-000029,Bolt,Steel,Steel Bolt M5x60,Dia=5mm;Len=60mm,EA,0.2,Supplier FastenPro,22
PRT-000030,Nut,Steel,Steel Nut M3,Dia=3mm,EA,0.02,Supplier FinishesPlus,28
PRT-000031,Handle,Steel,Steel Handle,,EA,4.67,Supplier FinishesPlus,28
PRT-000032,Feet Pad,Aluminum,Aluminum Feet Pad,,EA,2.72,Supplier FastenPro,3
PRT-000033,Panel,Pine Wood,Pine Wood Panel 500x80x12mm,L=500mm;W=80mm;T=12mm,EA,2.05,Supplier FastenPro,3
PRT-000034,Bolt,Steel,Steel Bolt M6x10,Dia=6mm;Len=10mm,EA,0.07,Supplier UpholsteryHub,32
PRT-000035,Screw,Stainless Steel,Stainless Steel Screw M6x30,Dia=6mm;Len=30mm,EA,0.06,Supplier HardwareHouse,20
PRT-000036,Panel,MDF,MDF Panel 1800x400x8mm,L=1800mm;W=400mm;T=8mm,EA,1.48,Supplier EcoMaterials,12
PRT-000037,Panel,Birch Plywood,Birch Plywood Panel 1200x100x40mm,L=1200mm;W=100mm;T=40mm,EA,3.64,Supplier PlastiCraft,6
PRT-000038,Bracket,Polypropylene,Polypropylene Bracket,,EA,1.79,Supplier UpholsteryHub,20
PRT-000039,Washer,Steel,Steel Washer M3,Dia=3mm,EA,0.01,Supplier PrimeSupply,29
PRT-000040,Rail,Oak Wood,Oak Wood Rail 1000x400x40mm,L=1000mm;W=400mm;T=40mm,EA,7.01,Supplier PlastiCraft,2
PRT-000041,Washer,Steel,Steel Washer M6,Dia=6mm,EA,0.02,Supplier MetalWorks,10
PRT-000042,Screw,Steel,Steel Screw M4x20,Dia=4mm;Len=20mm,EA,0.04,Supplier MetalWorks,23
PRT-000043,Slider,Stainless Steel,Stainless Steel Slider,,EA,4.19,Supplier FinishesPlus,19
PRT-000044,Leg,Pine Wood,Pine Wood Leg 600x120x12mm,L=600mm;W=120mm;T=12mm,EA,2.26,Supplier HardwareHouse,21
PRT-000045,Shelf,Pine Wood,Pine Wood Shelf 1200x60x12mm,L=1200mm;W=60mm;T=12mm,EA,1.93,Supplier FinishesPlus,4
PRT-000046,Glass Top,Tempered Glass,Tempered Glass Glass Top 800x500mm,L=800mm;W=500mm,EA,22.04,Supplier GlassLab,22
PRT-000047,Leg,Oak Wood,Oak Wood Leg 1400x100x25mm,L=1400mm;W=100mm;T=25mm,EA,8.13,Supplier FinishesPlus,26
PRT-000048,Bracket,Polypropylene,Polypropylene Bracket,,EA,3.13,Supplier PlastiCraft,14
PRT-000049,Panel,Walnut Wood,Walnut Wood Panel 1200x80x15mm,L=1200mm;W=80mm;T=15mm,EA,5.33,Supplier FastenPro,26
PRT-000050,Glass Top,Tempered Glass,Tempered Glass Glass Top 800x500mm,L=800mm;W=500mm,EA,16.01,Supplier GlassLab,23
PRT-000051,Handle,Acrylic,Acrylic Handle,,EA,9.05,Supplier HardwareHouse,29
PRT-000052,Bracket,Stainless Steel,Stainless Steel Bracket,,EA,6.78,Supplier MetalWorks,8
PRT-000053,Bracket,ABS Plastic,ABS Plastic Bracket,,EA,5.79,Supplier FastenPro,16
PRT-000054,Backboard,Oak Wood,Oak Wood Backboard 200x400x20mm,L=200mm;W=400mm;T=20mm,EA,3.41,Supplier PrimeSupply,20
PRT-000055,Handle,Stainless Steel,Stainless Steel Handle,,EA,12.16,Supplier FastenPro,32
PRT-000056,Backboard,Pine Wood,Pine Wood Backboard 1200x800x12mm,L=1200mm;W=800mm;T=12mm,EA,2.25,Supplier PrimeSupply,29
PRT-000057,Fabric Cover,Fabric,Fabric Fabric Cover 800x900mm,L=800mm;W=900mm,EA,5.06,Supplier UpholsteryHub,20
PRT-000058,Screw,Stainless Steel,Stainless Steel Screw M4x50,Dia=4mm;Len=50mm,EA,0.2,Supplier EcoMaterials,27
PRT-000059,Panel,Oak Wood,Oak Wood Panel 200x100x15mm,L=200mm;W=100mm;T=15mm,EA,5.07,Supplier FastenPro,17
PRT-000060,Panel,Bamboo,Bamboo Panel 1400x500x15mm,L=1400mm;W=500mm;T=15mm,EA,4.87,Supplier HardwareHouse,9
PRT-000061,Beam,Pine Wood,Pine Wood Beam 800x60x12mm,L=800mm;W=60mm;T=12mm,EA,1.36,Supplier FinishesPlus,17
PRT-000062,Leg,Birch Plywood,Birch Plywood Leg 600x150x15mm,L=600mm;W=150mm;T=15mm,EA,3.0,Supplier HardwareHouse,22
PRT-000063,Screw,Steel,Steel Screw M8x40,Dia=8mm;Len=40mm,EA,0.12,Supplier FastenPro,6
PRT-000064,Beam,Bamboo,Bamboo Beam 1600x80x50mm,L=1600mm;W=80mm;T=50mm,EA,4.64,Supplier HardwareHouse,18
PRT-000065,Screw,Brass,Brass Screw M3x20,Dia=3mm;Len=20mm,EA,0.16,Supplier PrimeSupply,4
PRT-000066,Shelf,Oak Wood,Oak Wood Shelf 1400x300x30mm,L=1400mm;W=300mm;T=30mm,EA,7.17,Supplier EcoMaterials,25
PRT-000067,Slider,ABS Plastic,ABS Plastic Slider,,EA,8.76,Supplier PlastiCraft,11
PRT-000068,Beam,Birch Plywood,Birch Plywood Beam 400x500x20mm,L=400mm;W=500mm;T=20mm,EA,2.09,Supplier EcoMaterials,32
PRT-000069,Beam,Walnut Wood,Walnut Wood Beam 300x600x20mm,L=300mm;W=600mm;T=20mm,EA,6.11,Supplier MetalWorks,11
PRT-000070,Rail,Birch Plywood,Birch Plywood Rail 1000x600x18mm,L=1000mm;W=600mm;T=18mm,EA,6.01,Supplier TimberCo,24
PRT-000071,Slider,Steel,Steel Slider,,EA,10.55,Supplier GlassLab,8
PRT-000072,Bolt,Stainless Steel,Stainless Steel Bolt M3x30,Dia=3mm;Len=30mm,EA,0.09,Supplier FinishesPlus,33
PRT-000073,Screw,Steel,Steel Screw M8x25,Dia=8mm;Len=25mm,EA,0.1,Supplier PrimeSupply,4
PRT-000074,Bolt,Steel,Steel Bolt M10x10,Dia=10mm;Len=10mm,EA,0.06,Supplier MetalWorks,22
PRT-000075,Bolt,Steel,Steel Bolt M6x16,Dia=6mm;Len=16mm,EA,0.05,Supplier FastenPro,30
PRT-000076,Leg,Oak Wood,Oak Wood Leg 1200x200x20mm,L=1200mm;W=200mm;T=20mm,EA,7.05,Supplier MetalWorks,17
PRT-000077,Nut,Stainless Steel,Stainless Steel Nut M6,Dia=6mm,EA,0.02,Supplier MetalWorks,20
PRT-000078,Backboard,Birch Plywood,Birch Plywood Backboard 700x120x25mm,L=700mm;W=120mm;T=25mm,EA,2.46,Supplier TimberCo,13
PRT-000079,Slider,Stainless Steel,Stainless Steel Slider,,EA,5.2,Supplier TimberCo,27
PRT-000080,Screw,Steel,Steel Screw M3x20,Dia=3mm;Len=20mm,EA,0.05,Supplier FastenPro,21
PRT-000081,Bolt,Steel,Steel Bolt M6x25,Dia=6mm;Len=25mm,EA,0.07,Supplier MetalWorks,8
PRT-000082,Shelf,Pine Wood,Pine Wood Shelf 800x800x18mm,L=800mm;W=800mm;T=18mm,EA,2.46,Supplier PrimeSupply,14
PRT-000083,Bolt,Brass,Brass Bolt M8x20,Dia=8mm;Len=20mm,EA,0.21,Supplier PlastiCraft,31
PRT-000084,Screw,Steel,Steel Screw M3x40,Dia=3mm;Len=40mm,EA,0.03,Supplier UpholsteryHub,18
PRT-000085,Leg,Oak Wood,Oak Wood Leg 1200x400x18mm,L=1200mm;W=400mm;T=18mm,EA,6.3,Supplier FinishesPlus,17
PRT-000086,Backboard,Walnut Wood,Walnut Wood Backboard 500x100x25mm,L=500mm;W=100mm;T=25mm,EA,4.27,Supplier UpholsteryHub,3
PRT-000087,Handle,Polypropylene,Polypropylene Handle,,EA,5.09,Supplier FastenPro,4
PRT-000088,Hinge,Steel,Steel Hinge,,EA,5.52,Supplier PlastiCraft,14
PRT-000089,Washer,Steel,Steel Washer M5,Dia=5mm,EA,0.01,Supplier MetalWorks,8
PRT-000090,Paint Can,Paint,Paint Paint Can 1L,Volume=1L,EA,4.35,Supplier EcoMaterials,12
PRT-000091,Shelf,Pine Wood,Pine Wood Shelf 700x300x25mm,L=700mm;W=300mm;T=25mm,EA,2.91,Supplier MetalWorks,6
PRT-000092,Drawer Front,MDF,MDF Drawer Front 800x500x25mm,L=800mm;W=500mm;T=25mm,EA,2.6,Supplier EcoMaterials,27
PRT-000093,Handle,Steel,Steel Handle,,EA,6.04,Supplier PrimeSupply,16
PRT-000094,Screw,Steel,Steel Screw M5x30,Dia=5mm;Len=30mm,EA,0.06,Supplier EcoMaterials,6
PRT-000095,Beam,Pine Wood,Pine Wood Beam 1800x40x12mm,L=1800mm;W=40mm;T=12mm,EA,1.8,Supplier PrimeSupply,17
PRT-000096,Panel,Oak Wood,Oak Wood Panel 400x80x30mm,L=400mm;W=80mm;T=30mm,EA,4.43,Supplier GlassLab,22
PRT-000097,Backboard,Oak Wood,Oak Wood Backboard 1200x60x40mm,L=1200mm;W=60mm;T=40mm,EA,3.41,Supplier UpholsteryHub,24
PRT-000098,Panel,Birch Plywood,Birch Plywood Panel 900x300x15mm,L=900mm;W=300mm;T=15mm,EA,4.22,Supplier TimberCo,31
PRT-000099,Beam,Oak Wood,Oak Wood Beam 200x400x40mm,L=200mm;W=400mm;T=40mm,EA,2.81,Supplier PlastiCraft,22
PRT-000100,Washer,Steel,Steel Washer M6,Dia=6mm,EA,0.03,Supplier HardwareHouse,13
PRT-000101,Screw,Steel,Steel Screw M8x30,Dia=8mm;Len=30mm,EA,0.09,Supplier HardwareHouse,30
PRT-000102,Handle,Steel,Steel Handle,,EA,4.14,Supplier GlassLab,6
PRT-000103,Leg,Oak Wood,Oak Wood Leg 800x500x15mm,L=800mm;W=500mm;T=15mm,EA,6.64,Supplier HardwareHouse,24
PRT-000104,Caster Wheel,Stainless Steel,Stainless Steel Caster Wheel,,EA,10.01,Supplier TimberCo,27
PRT-000105,Shelf,Pine Wood,Pine Wood Shelf 1200x200x15mm,L=1200mm;W=200mm;T=15mm,EA,2.1,Supplier HardwareHouse,32
PRT-000106,Shelf,Birch Plywood,Birch Plywood Shelf 400x300x12mm,L=400mm;W=300mm;T=12mm,EA,2.7,Supplier PlastiCraft,3
PRT-000107,Bolt,Stainless Steel,Stainless Steel Bolt M3x20,Dia=3mm;Len=20mm,EA,0.09,Supplier EcoMaterials,22
PRT-000108,Shelf,Birch Plywood,Birch Plywood Shelf 800x400x15mm,L=800mm;W=400mm;T=15mm,EA,3.37,Supplier PrimeSupply,22
PRT-000109,Handle,Stainless Steel,Stainless Steel Handle,,EA,15.9,Supplier MetalWorks,25
PRT-000110,Backboard,Pine Wood,Pine Wood Backboard 1800x200x15mm,L=1800mm;W=200mm;T=15mm,EA,1.67,Supplier GlassLab,11
PRT-000111,Screw,Stainless Steel,Stainless Steel Screw M5x20,Dia=5mm;Len=20mm,EA,0.08,Supplier UpholsteryHub,4
PRT-000112,Leg,Pine Wood,Pine Wood Leg 400x40x18mm,L=400mm;W=40mm;T=18mm,EA,2.26,Supplier PlastiCraft,26
PRT-000113,Fabric Cover,Fabric,Fabric Fabric Cover 1200x800mm,L=1200mm;W=800mm,EA,6.06,Supplier PlastiCraft,6
PRT-000114,Feet Pad,Aluminum,Aluminum Feet Pad,,EA,2.57,Supplier PlastiCraft,4
PRT-000115,Bolt,Stainless Steel,Stainless Steel Bolt M8x10,Dia=8mm;Len=10mm,EA,0.1,Supplier FastenPro,14
PRT-000116,Bracket,Steel,Steel Bracket,,EA,4.63,Supplier FastenPro,28
PRT-000117,Screw,Steel,Steel Screw M10x20,Dia=10mm;Len=20mm,EA,0.05,Supplier HardwareHouse,14
PRT-000118,Beam,Pine Wood,Pine Wood Beam 900x600x20mm,L=900mm;W=600mm;T=20mm,EA,2.71,Supplier HardwareHouse,12
PRT-000119,Bolt,Stainless Steel,Stainless Steel Bolt M6x40,Dia=6mm;Len=40mm,EA,0.17,Supplier GlassLab,8
PRT-000120,Bolt,Steel,Steel Bolt M4x30,Dia=4mm;Len=30mm,EA,0.12,Supplier UpholsteryHub,6
PRT-000121,Bolt,Stainless Steel,Stainless Steel Bolt M5x20,Dia=5mm;Len=20mm,EA,0.16,Supplier FinishesPlus,19
PRT-000122,Hinge,Aluminum,Aluminum Hinge,,EA,20.9,Supplier EcoMaterials,28
PRT-000123,Fabric Cover,Fabric,Fabric Fabric Cover 1000x700mm,L=1000mm;W=700mm,EA,6.93,Supplier MetalWorks,32
PRT-000124,Panel,Oak Wood,Oak Wood Panel 500x120x40mm,L=500mm;W=120mm;T=40mm,EA,3.52,Supplier HardwareHouse,7
PRT-000125,Screw,Steel,Steel Screw M8x25,Dia=8mm;Len=25mm,EA,0.08,Supplier EcoMaterials,13
PRT-000126,Varnish Can,Varnish,Varnish Varnish Can 1L,Volume=1L,EA,5.79,Supplier EcoMaterials,5
PRT-000127,Rail,Oak Wood,Oak Wood Rail 1200x40x40mm,L=1200mm;W=40mm;T=40mm,EA,4.85,Supplier GlassLab,17
PRT-000128,Washer,Steel,Steel Washer M4,Dia=4mm,EA,0.01,Supplier PrimeSupply,3
PRT-000129,Leg,Pine Wood,Pine Wood Leg 800x100x20mm,L=800mm;W=100mm;T=20mm,EA,2.8,Supplier PlastiCraft,3
PRT-000130,Drawer Front,Birch Plywood,Birch Plywood Drawer Front 500x120x25mm,L=500mm;W=120mm;T=25mm,EA,2.72,Supplier FastenPro,31
PRT-000131,Fabric Cover,Fabric,Fabric Fabric Cover 1200x700mm,L=1200mm;W=700mm,EA,5.75,Supplier PrimeSupply,16
PRT-000132,Nut,Brass,Brass Nut M4,Dia=4mm,EA,0.04,Supplier EcoMaterials,6
PRT-000133,Varnish Can,Varnish,Varnish Varnish Can 1L,Volume=1L,EA,4.86,Supplier FastenPro,6
PRT-000134,Glass Top,Tempered Glass,Tempered Glass Glass Top 800x400mm,L=800mm;W=400mm,EA,14.02,Supplier TimberCo,32
PRT-000135,Panel,MDF,MDF Panel 900x40x20mm,L=900mm;W=40mm;T=20mm,EA,1.55,Supplier EcoMaterials,20
PRT-000136,Handle,ABS Plastic,ABS Plastic Handle,,EA,1.54,Supplier FinishesPlus,7
PRT-000137,Rail,Oak Wood,Oak Wood Rail 1200x400x50mm,L=1200mm;W=400mm;T=50mm,EA,10.31,Supplier FastenPro,16
PRT-000138,Foam Insert,Foam,Foam Foam Insert 1600x100x50mm,L=1600mm;W=100mm;T=50mm,EA,1.42,Supplier GlassLab,16
PRT-000139,Backboard,Oak Wood,Oak Wood Backboard 400x40x25mm,L=400mm;W=40mm;T=25mm,EA,4.21,Supplier GlassLab,24
PRT-000140,Rail,Pine Wood,Pine Wood Rail 500x80x15mm,L=500mm;W=80mm;T=15mm,EA,2.15,Supplier FinishesPlus,14
PRT-000141,Drawer Front,Birch Plywood,Birch Plywood Drawer Front 500x60x25mm,L=500mm;W=60mm;T=25mm,EA,2.82,Supplier PlastiCraft,11
PRT-000142,Washer,Steel,Steel Washer M5,Dia=5mm,EA,0.01,Supplier FinishesPlus,13
PRT-000143,Nut,Steel,Steel Nut M4,Dia=4mm,EA,0.03,Supplier UpholsteryHub,34
PRT-000144,Leg,Pine Wood,Pine Wood Leg 500x800x15mm,L=500mm;W=800mm;T=15mm,EA,1.79,Supplier TimberCo,34
PRT-000145,Foam Insert,Foam,Foam Foam Insert 200x150x60mm,L=200mm;W=150mm;T=60mm,EA,3.16,Supplier UpholsteryHub,12
PRT-000146,Panel,Pine Wood,Pine Wood Panel 900x40x15mm,L=900mm;W=40mm;T=15mm,EA,1.53,Supplier UpholsteryHub,4
PRT-000147,Panel,Bamboo,Bamboo Panel 800x80x25mm,L=800mm;W=80mm;T=25mm,EA,3.1,Supplier UpholsteryHub,10
PRT-000148,Paint Can,Paint,Paint Paint Can 1L,Volume=1L,EA,3.97,Supplier MetalWorks,22
PRT-000149,Panel,Oak Wood,Oak Wood Panel 200x80x8mm,L=200mm;W=80mm;T=8mm,EA,3.65,Supplier FinishesPlus,22
PRT-000150,Panel,Pine Wood,Pine Wood Panel 1600x100x18mm,L=1600mm;W=100mm;T=18mm,EA,3.69,Supplier FinishesPlus,28
PRT-000151,Washer,Steel,Steel Washer M6,Dia=6mm,EA,0.02,Supplier FastenPro,21
PRT-000152,Foam Insert,Foam,Foam Foam Insert 1200x200x30mm,L=1200mm;W=200mm;T=30mm,EA,2.47,Supplier PlastiCraft,4
PRT-000153,Beam,Birch Plywood,Birch Plywood Beam 1200x300x18mm,L=1200mm;W=300mm;T=18mm,EA,2.62,Supplier FinishesPlus,3
PRT-000154,Caster Wheel,Acrylic,Acrylic Caster Wheel,,EA,20.75,Supplier PrimeSupply,30
PRT-000155,Backboard,Oak Wood,Oak Wood Backboard 800x40x18mm,L=800mm;W=40mm;T=18mm,EA,2.25,Supplier FastenPro,25
PRT-000156,Screw,Stainless Steel,Stainless Steel Screw M8x20,Dia=8mm;Len=20mm,EA,0.09,Supplier EcoMaterials,32
PRT-000157,Screw,Steel,Steel Screw M3x60,Dia=3mm;Len=60mm,EA,0.09,Supplier HardwareHouse,3
PRT-000158,Screw,Steel,Steel Screw M5x50,Dia=5mm;Len=50mm,EA,0.06,Supplier FastenPro,6
PRT-000159,Beam,Oak Wood,Oak Wood Beam 1400x200x25mm,L=1400mm;W=200mm;T=25mm,EA,4.27,Supplier MetalWorks,8
PRT-000160,Rail,Pine Wood,Pine Wood Rail 1000x80x18mm,L=1000mm;W=80mm;T=18mm,EA,2.91,Supplier PlastiCraft,19
PRT-000161,Panel,Oak Wood,Oak Wood Panel 1000x40x15mm,L=1000mm;W=40mm;T=15mm,EA,3.29,Supplier HardwareHouse,19
PRT-000162,Backboard,Walnut Wood,Walnut Wood Backboard 600x200x12mm,L=600mm;W=200mm;T=12mm,EA,4.9,Supplier FastenPro,33
PRT-000163,Screw,Steel,Steel Screw M8x20,Dia=8mm;Len=20mm,EA,0.08,Supplier UpholsteryHub,11
PRT-000164,Handle,Steel,Steel Handle,,EA,2.43,Supplier FastenPro,32
PRT-000165,Panel,MDF,MDF Panel 900x100x18mm,L=900mm;W=100mm;T=18mm,EA,2.09,Supplier UpholsteryHub,10
PRT-000166,Nut,Steel,Steel Nut M6,Dia=6mm,EA,0.03,Supplier MetalWorks,31
PRT-000167,Rail,Pine Wood,Pine Wood Rail 1800x80x40mm,L=1800mm;W=80mm;T=40mm,EA,2.76,Supplier TimberCo,22
PRT-000168,Screw,Steel,Steel Screw M6x20,Dia=6mm;Len=20mm,EA,0.05,Supplier PlastiCraft,6
PRT-000169,Rail,Bamboo,Bamboo Rail 400x40x15mm,L=400mm;W=40mm;T=15mm,EA,3.24,Supplier PrimeSupply,8
PRT-000170,Bolt,Steel,Steel Bolt M5x16,Dia=5mm;Len=16mm,EA,0.08,Supplier PlastiCraft,11
PRT-000171,Backboard,Oak Wood,Oak Wood Backboard 1600x80x25mm,L=1600mm;W=80mm;T=25mm,EA,3.14,Supplier FinishesPlus,31
PRT-000172,Backboard,Walnut Wood,Walnut Wood Backboard 1400x200x12mm,L=1400mm;W=200mm;T=12mm,EA,4.96,Supplier TimberCo,34
PRT-000173,Panel,Oak Wood,Oak Wood Panel 1800x40x12mm,L=1800mm;W=40mm;T=12mm,EA,2.68,Supplier PrimeSupply,4
PRT-000174,Screw,Steel,Steel Screw M5x12,Dia=5mm;Len=12mm,EA,0.02,Supplier UpholsteryHub,28
PRT-000175,Bolt,Steel,Steel Bolt M6x30,Dia=6mm;Len=30mm,EA,0.13,Supplier EcoMaterials,30
PRT-000176,Backboard,Walnut Wood,Walnut Wood Backboard 400x150x30mm,L=400mm;W=150mm;T=30mm,EA,5.86,Supplier EcoMaterials,10
PRT-000177,Glue Bottle,Glue,Glue Glue Bottle 1L,Volume=1L,EA,1.46,Supplier HardwareHouse,15
PRT-000178,Backboard,MDF,MDF Backboard 400x200x25mm,L=400mm;W=200mm;T=25mm,EA,1.56,Supplier PlastiCraft,30
PRT-000179,Screw,Steel,Steel Screw M5x50,Dia=5mm;Len=50mm,EA,0.11,Supplier HardwareHouse,24
PRT-000180,Backboard,Bamboo,Bamboo Backboard 1600x40x50mm,L=1600mm;W=40mm;T=50mm,EA,2.02,Supplier GlassLab,4
PRT-000181,Screw,Steel,Steel Screw M6x16,Dia=6mm;Len=16mm,EA,0.09,Supplier FinishesPlus,12
PRT-000182,Nut,Stainless Steel,Stainless Steel Nut M10,Dia=10mm,EA,0.03,Supplier GlassLab,2
PRT-000183,Backboard,Bamboo,Bamboo Backboard 400x400x25mm,L=400mm;W=400mm;T=25mm,EA,2.94,Supplier FastenPro,27
PRT-000184,Shelf,MDF,MDF Shelf 300x60x25mm,L=300mm;W=60mm;T=25mm,EA,1.37,Supplier FastenPro,6
PRT-000185,Screw,Steel,Steel Screw M6x30,Dia=6mm;Len=30mm,EA,0.07,Supplier UpholsteryHub,3
PRT-000186,Bolt,Brass,Brass Bolt M5x40,Dia=5mm;Len=40mm,EA,0.55,Supplier FastenPro,30
PRT-000187,Bolt,Stainless Steel,Stainless Steel Bolt M8x40,Dia=8mm;Len=40mm,EA,0.21,Supplier TimberCo,25
PRT-000188,Leg,Pine Wood,Pine Wood Leg 600x150x20mm,L=600mm;W=150mm;T=20mm,EA,1.9,Supplier PrimeSupply,2
PRT-000189,Leg,Oak Wood,Oak Wood Leg 1200x150x20mm,L=1200mm;W=150mm;T=20mm,EA,5.15,Supplier TimberCo,23
PRT-000190,Shelf,Pine Wood,Pine Wood Shelf 800x400x20mm,L=800mm;W=400mm;T=20mm,EA,2.35,Supplier MetalWorks,16
PRT-000191,Backboard,Birch Plywood,Birch Plywood Backboard 900x600x18mm,L=900mm;W=600mm;T=18mm,EA,3.01,Supplier FastenPro,22
PRT-000192,Feet Pad,ABS Plastic,ABS Plastic Feet Pad,,EA,2.29,Supplier FinishesPlus,28
PRT-000193,Screw,Brass,Brass Screw M5x12,Dia=5mm;Len=12mm,EA,0.06,Supplier PrimeSupply,11
PRT-000194,Slider,ABS Plastic,ABS Plastic Slider,,EA,5.72,Supplier EcoMaterials,4
PRT-000195,Bracket,Steel,Steel Bracket,,EA,2.73,Supplier HardwareHouse,30
PRT-000196,Shelf,Pine Wood,Pine Wood Shelf 1400x120x12mm,L=1400mm;W=120mm;T=12mm,EA,1.43,Supplier HardwareHouse,10
PRT-000197,Backboard,Birch Plywood,Birch Plywood Backboard 1600x300x12mm,L=1600mm;W=300mm;T=12mm,EA,2.44,Supplier HardwareHouse,18
PRT-000198,Glue Bottle,Glue,Glue Glue Bottle 1L,Volume=1L,EA,2.74,Supplier PrimeSupply,18
PRT-000199,Fabric Cover,Fabric,Fabric Fabric Cover 1000x800mm,L=1000mm;W=800mm,EA,4.91,Supplier MetalWorks,32
PRT-000200,Panel,Pine Wood,Pine Wood Panel 300x200x15mm,L=300mm;W=200mm;T=15mm,EA,2.03,Supplier GlassLab,31
PRT-000201,Foam Insert,Foam,Foam Foam Insert 500x40x100mm,L=500mm;W=40mm;T=100mm,EA,2.38,Supplier UpholsteryHub,3
PRT-000202,Hinge,Polypropylene,Polypropylene Hinge,,EA,5.28,Supplier GlassLab,25
PRT-000203,Caster Wheel,Polypropylene,Polypropylene Caster Wheel,,EA,7.46,Supplier PrimeSupply,5
PRT-000204,Handle,Steel,Steel Handle,,EA,5.42,Supplier HardwareHouse,34
PRT-000205,Bolt,Steel,Steel Bolt M10x20,Dia=10mm;Len=20mm,EA,0.06,Supplier EcoMaterials,12
PRT-000206,Beam,MDF,MDF Beam 500x40x40mm,L=500mm;W=40mm;T=40mm,EA,1.25,Supplier PlastiCraft,24
PRT-000207,Handle,Steel,Steel Handle,,EA,7.7,Supplier UpholsteryHub,18
PRT-000208,Panel,Walnut Wood,Walnut Wood Panel 1200x200x20mm,L=1200mm;W=200mm;T=20mm,EA,5.06,Supplier UpholsteryHub,9
PRT-000209,Glass Top,Tempered Glass,Tempered Glass Glass Top 800x600mm,L=800mm;W=600mm,EA,30.18,Supplier EcoMaterials,32
