product_id,category,style,finish,size_class,main_material,active_flag,launch_year,product_name
FG-00150,Coffee Table,Rustic,Walnut,M,Pine Wood,1,2021,Rustic Coffee Table - Walnut (M)
FG-00151,Office Desk,Minimalist,Oak,XS,Aluminum,1,2020,Minimalist Office Desk - Oak (XS)
FG-00152,Table,Modern,White,XS,Steel,1,2023,Modern Table - White (XS)
FG-00153,Bookshelf,Classic,Oak,XL,Oak Wood,1,2019,Classic Bookshelf - Oak (XL)
FG-00154,Nightstand,Scandinavian,Glossy White,S,Steel,1,2025,Scandinavian Nightstand - Glossy White (S)
FG-00155,Coffee Table,Minimalist,Matte Gray,L,Steel,1,2023,Minimalist Coffee Table - Matte Gray (L)
FG-00156,Chair,Mid-century,Black,XS,Oak Wood,1,2022,Mid-century Chair - Black (XS)
FG-00157,Chair,Rustic,Matte Gray,M,Steel,1,2022,Rustic Chair - Matte Gray (M)
FG-00158,Kitchen Cabinet,Minimalist,Natural,M,Birch Plywood,1,2021,Minimalist Kitchen Cabinet - Natural (M)
FG-00159,Nightstand,Scandinavian,Black,M,Walnut Wood,1,2025,Scandinavian Nightstand - Black (M)
FG-00160,Chair,Rustic,White,S,Oak Wood,1,2023,Rustic Chair - White (S)
FG-00161,Wardrobe,Mid-century,Oak,M,MDF,1,2020,Mid-century Wardrobe - Oak (M)
FG-00162,Kitchen Cabinet,Mid-century,Walnut,L,MDF,1,2023,Mid-century Kitchen Cabinet - Walnut (L)
FG-00163,Chair,Rustic,Black,M,Birch Plywood,0,2024,Rustic Chair - Black (M)
FG-00164,Bookshelf,Classic,Black,S,Pine Wood,1,2021,Classic Bookshelf - Black (S)
FG-00165,Office Desk,Modern,White,L,Steel,1,2025,Modern Office Desk - White (L)
FG-00166,Office Desk,Rustic,Espresso,XL,Walnut Wood,1,2023,Rustic Office Desk - Espresso (XL)
FG-00167,Kitchen Cabinet,Scandinavian,Walnut,M,Oak Wood,1,2021,Scandinavian Kitchen Cabinet - Walnut (M)
FG-00168,Chair,Scandinavian,Black,M,MDF,1,2023,Scandinavian Chair - Black (M)
FG-00169,Bathroom Vanity,Rustic,Matte Gray,XS,Oak Wood,1,2025,Rustic Bathroom Vanity - Matte Gray (XS)
FG-00170,Chair,Modern,Natural,XS,Aluminum,1,2024,Modern Chair - Natural (XS)
FG-00171,Table,Modern,Natural,M,MDF,1,2019,Modern Table - Natural (M)
FG-00172,Wardrobe,Modern,Matte Gray,S,Steel,1,2020,Modern Wardrobe - Matte Gray (S)
FG-00173,Chair,Classic,Natural,XL,Walnut Wood,1,2019,Classic Chair - Natural (XL)
FG-00174,Table,Modern,Black,L,Birch Plywood,1,2023,Modern Table - Black (L)
FG-00175,Sofa,Minimalist,White,M,Oak Wood,1,2025,Minimalist Sofa - White (M)
FG-00176,Coffee Table,Minimalist,White,M,Oak Wood,1,2021,Minimalist Coffee Table - White (M)
FG-00177,Table,Rustic,Oak,S,Birch Plywood,1,2022,Rustic Table - Oak (S)
FG-00178,Nightstand,Minimalist,Walnut,XL,Steel,1,2025,Minimalist Nightstand - Walnut (XL)
FG-00179,Table,Industrial,Oak,M,Birch Plywood,1,2020,Industrial Table - Oak (M)
FG-00180,Wardrobe,Rustic,White,L,Steel,1,2023,Rustic Wardrobe - White (L)
